Sale ID,Date,Shop,Product,Quantity,Unit price,Amount
S000000000,2020-06-12,shop_0,TAB_0,1.0,210.0,210.0
S000000001,2020-06-11,shop_1,TAB_1,1.0,300.0,300.0
S000000002,2020-06-10,shop_2,CHA_2,2.0,60.0,120.0
S000000003,2020-06-09,shop_3,BED_3,1.0,150.0,150.0
S000000004,2020-06-08,shop_4,BED_4,3.0,300.0,900.0
S000000005,2020-06-07,shop_5,BED_5,1.0,395.0,395.0
S000000006,2020-06-06,shop_6,BED_6,2.0,440.0,880.0
S000000007,2020-06-05,shop_7,TSH_7,2.0,20.0,40.0
S000000008,2020-06-04,shop_8,TSH_8,1.0,20.0,20.0
S000000009,2020-06-03,shop_9,TSH_9,1.0,22.0,22.0
S000000010,2020-06-02,shop_10,TSH_10,1.0,24.0,24.0
S000000011,2020-06-01,shop_11,TSH_11,4.0,24.0,96.0
S000000012,2020-05-31,shop_12,HOO_12,1.0,45.0,45.0
S000000013,2020-05-30,shop_13,HOO_13,1.0,48.0,48.0
S000000014,2020-05-29,shop_14,HOO_14,1.0,49.0,49.0
S000000015,2020-05-28,shop_15,SHO_15,2.0,60.0,120.0
S000000016,2020-05-27,shop_16,SHO_16,1.0,60.0,60.0
S000000017,2020-05-26,shop_17,SHO_17,3.0,60.0,180.0
S000000018,2020-05-25,shop_18,SHO_18,1.0,60.0,60.0
S000000019,2020-05-24,shop_19,SHO_19,2.0,60.0,120.0
S000000020,2020-05-23,shop_20,SHO_20,2.0,60.0,120.0
S000000021,2020-05-22,shop_21,TAB_21,1.0,210.0,210.0
S000000022,2020-05-21,shop_22,TAB_22,1.0,300.0,300.0
S000000023,2020-05-20,shop_23,CHA_23,1.0,60.0,60.0
S000000024,2020-05-19,shop_24,BED_24,4.0,150.0,600.0
S000000025,2020-05-18,shop_25,BED_25,1.0,300.0,300.0
S000000026,2020-05-17,shop_26,BED_26,1.0,395.0,395.0
S000000027,2020-05-16,shop_27,BED_27,1.0,440.0,440.0
S000000028,2020-05-15,shop_28,TSH_28,2.0,20.0,40.0
S000000029,2020-05-14,shop_29,TSH_29,1.0,20.0,20.0
S000000030,2020-06-12,shop_30,TSH_30,3.0,22.0,66.0
S000000031,2020-06-11,shop_31,TSH_31,1.0,24.0,24.0
S000000032,2020-06-10,shop_32,TSH_32,2.0,24.0,48.0
S000000033,2020-06-09,shop_33,HOO_33,2.0,45.0,90.0
S000000034,2020-06-08,shop_34,HOO_34,1.0,48.0,48.0
S000000035,2020-06-07,shop_35,HOO_35,1.0,49.0,49.0
S000000036,2020-06-06,shop_36,SHO_36,1.0,60.0,60.0
S000000037,2020-06-05,shop_37,SHO_37,4.0,60.0,240.0
S000000038,2020-06-04,shop_38,SHO_38,1.0,60.0,60.0
S000000039,2020-06-03,shop_39,SHO_39,1.0,60.0,60.0
S000000040,2020-06-02,shop_0,SHO_40,1.0,60.0,60.0
S000000041,2020-06-01,shop_1,SHO_41,2.0,60.0,120.0
S000000042,2020-05-31,shop_2,TAB_42,1.0,210.0,210.0
S000000043,2020-05-30,shop_3,TAB_43,3.0,300.0,900.0
S000000044,2020-05-29,shop_4,CHA_44,1.0,60.0,60.0
S000000045,2020-05-28,shop_5,BED_45,2.0,150.0,300.0
S000000046,2020-05-27,shop_6,BED_46,2.0,300.0,600.0
S000000047,2020-05-26,shop_7,BED_47,1.0,395.0,395.0
S000000048,2020-05-25,shop_8,BED_48,1.0,440.0,440.0
